GeneID,padj_dat_ev,padj_dat_rna,padj_dat_ox,padj_dat_rna_lp,padj_dat_ox_lp,padj_dat_rna_op,padj_dat_ox_op
Phvul.001G067400.1,NA,1.27015363391206e-4,NA,NA,5.25039254267672e-5,7.54853972515757e-5,NA
Phvul.001G067700.1,NA,NA,1.16223727823911e-6,NA,0.00732798299014881,NA,NA
Phvul.001G068100.1,NA,NA,2.22058045229644e-17,NA,NA,NA,NA
Phvul.001G069232.1,NA,NA,NA,NA,NA,NA,0.0029636762694613
Phvul.001G069264.1,NA,NA,NA,NA,NA,NA,0.00485493011171558
Phvul.001G069280.1,NA,NA,NA,NA,0.0415738879938101,NA,NA
Phvul.001G069300.1,NA,NA,NA,NA,NA,NA,4.82013865690786e-4
Phvul.001G069600.1,NA,NA,NA,NA,NA,NA,2.5088269076688e-4
Phvul.001G070000.1,NA,NA,NA,NA,NA,NA,0.00137532821775364
Phvul.001G070100.1,NA,NA,NA,NA,NA,NA,0.023336771291585
Phvul.001G072200.1,NA,NA,4.05424340667473e-24,NA,1.38398467374069e-5,NA,NA
Phvul.001G073501.1,NA,NA,NA,NA,1.54544178582951e-4,NA,NA
Phvul.001G073700.1,NA,NA,0.00523026773184537,NA,NA,NA,NA
Phvul.001G074200.1,NA,0.0180510812844227,NA,NA,NA,NA,1.57970733065993e-5
Phvul.001G075000.1,NA,NA,NA,NA,2.47456958378502e-18,NA,NA
Phvul.001G075100.1,NA,NA,NA,0.00147029600286801,3.21063323629354e-6,1.6025845687036e-6,NA
Phvul.001G075300.1,NA,NA,NA,NA,4.76734038126375e-4,NA,NA
Phvul.001G075400.1,NA,NA,9.28514858495479e-23,NA,NA,NA,NA
Phvul.001G075800.2,NA,NA,NA,NA,6.27417095813566e-6,NA,NA
Phvul.001G076000.1,NA,NA,5.69891633182254e-16,0.00660873454669754,NA,NA,NA
Phvul.001G076100.1,NA,0.00271154868227561,NA,NA,NA,NA,3.75040754325557e-11
Phvul.001G076700.1,NA,1.4310458936562e-4,1.0374961704219e-27,8.50689914093903e-4,7.77440389766408e-13,NA,NA
Phvul.001G076750.1,NA,1.11414089007533e-4,6.62114662790506e-29,0.00665124103912724,5.31353533763103e-13,NA,NA
Phvul.001G077400.1,7.19468623022721e-13,NA,NA,0.0177760874050535,NA,3.71473165613539e-5,1.67118050580039e-13
Phvul.001G079500.1,0.0325126532518593,NA,NA,NA,NA,NA,0.0183674441559029
Phvul.001G081632.1,NA,0.00192165324129176,6.55920648485334e-16,NA,6.74660957290288e-8,NA,NA
Phvul.001G083100.1,NA,NA,1.53446072988555e-11,NA,NA,NA,NA
Phvul.001G083800.5,4.81683668896894e-13,0.00205121085039602,NA,NA,NA,NA,5.09773102558713e-25
Phvul.001G084100.2,1.08196185718676e-4,NA,NA,NA,NA,NA,NA
Phvul.001G085900.1,NA,0.00922838637576812,NA,NA,0.033931102337647,NA,NA
Phvul.001G086200.2,NA,NA,4.7263631720973e-4,NA,0.00480612816749147,NA,NA
Phvul.001G087800.2,NA,NA,1.65612522378996e-4,NA,NA,NA,NA
Phvul.001G088200.2,6.10431173535122e-11,0.0105378621998273,NA,NA,NA,NA,NA
Phvul.001G089000.1,NA,NA,7.05558477297488e-14,NA,NA,NA,NA
Phvul.001G089800.1,NA,NA,NA,NA,2.49139330251645e-12,NA,NA
Phvul.001G090400.1,NA,0.0199016845770292,1.98595563573362e-37,NA,9.25422647812611e-13,NA,NA
Phvul.001G090900.1,2.82618936136618e-5,0.0316120142245355,NA,NA,NA,NA,0.00486369088887971
Phvul.001G091000.1,5.40441709747429e-12,6.57397514856419e-17,NA,NA,NA,NA,3.59866261941134e-45
Phvul.001G092800.1,NA,NA,4.66026510447946e-46,NA,1.67790034253689e-37,NA,NA
Phvul.001G094200.1,NA,NA,7.60706785717928e-5,NA,NA,NA,NA
Phvul.001G098300.2,NA,NA,1.52021668327352e-7,NA,NA,NA,NA
Phvul.001G098600.1,NA,NA,2.19259347529793e-16,NA,1.34466778073522e-13,NA,NA
Phvul.001G099700.1,NA,NA,NA,NA,NA,NA,0.00251906433935256
Phvul.001G100200.1,6.85448945589733e-16,NA,NA,NA,NA,NA,NA
Phvul.001G101400.1,NA,NA,NA,NA,0.00218500019790964,NA,NA
Phvul.001G103600.1,8.92618190322662e-8,2.81269365493509e-4,3.21604546519753e-98,NA,6.21752465692107e-14,NA,3.88261030975256e-9
Phvul.001G106200.1,NA,0.00543022479352643,NA,NA,1.00732511629854e-10,NA,6.00235013690881e-10
Phvul.001G108101.1,2.60283226182253e-11,3.29319172899261e-4,2.05760176499147e-198,NA,1.74294939335595e-27,NA,7.89896583495542e-15
Phvul.001G108200.2,NA,6.78991131818012e-9,NA,5.9239255923519e-6,NA,NA,NA
Phvul.001G109200.1,2.98794342331791e-11,0.0193563852211635,NA,NA,NA,NA,1.82229738044809e-25
Phvul.001G109500.1,NA,0.0232590413807936,NA,NA,NA,NA,9.598383294286e-6
Phvul.001G111500.1,1.15576796663873e-5,NA,NA,NA,NA,3.30870091666697e-11,NA
Phvul.001G112200.1,5.83593954645457e-9,0.00508739097043298,NA,NA,NA,NA,3.26439416528016e-14
Phvul.001G112400.1,1.14075460941051e-11,0.0144198131743315,7.76842416747256e-54,NA,5.63148229896941e-14,NA,4.0589423126103e-36
Phvul.001G112500.1,8.33583011855029e-4,0.00185518678258168,1.50202035243761e-29,NA,1.22084883092081e-24,NA,1.41373527913799e-9
Phvul.001G112700.1,0.00324491821844677,NA,NA,NA,NA,NA,NA
Phvul.001G114000.1,3.4690665292123e-6,0.00476948218068015,3.65972208039277e-8,NA,NA,3.73980257528988e-4,1.71037504041396e-13
Phvul.001G114100.2,NA,6.51979725308447e-4,NA,NA,7.34635555913689e-10,NA,2.56544482714598e-15
Phvul.001G114800.1,3.03890000735633e-20,8.29275772164359e-13,NA,NA,NA,NA,1.4405998007624e-22
Phvul.001G116300.1,NA,0.0278024038474887,NA,NA,NA,NA,NA
Phvul.001G118600.1,NA,NA,1.654317156384e-9,NA,7.3514146094745e-6,NA,NA
Phvul.001G118900.1,NA,NA,NA,2.18030225270078e-7,1.90176191495977e-15,NA,NA
Phvul.001G119600.1,NA,NA,4.37710578051853e-22,NA,1.04525289364921e-11,NA,NA
Phvul.001G120600.1,NA,NA,0.00297600599238429,NA,NA,NA,NA
Phvul.001G122700.1,NA,NA,0.00765283520079184,NA,NA,NA,NA
Phvul.001G123000.2,NA,0.00112449123016396,NA,NA,NA,NA,NA
Phvul.001G124700.1,NA,0.0239373447580248,3.08726289385944e-37,NA,4.84495008331753e-6,NA,NA
Phvul.001G124800.1,2.42671344708934e-4,0.00713539223106053,8.76340389891928e-152,NA,4.29969406463199e-9,NA,NA
Phvul.001G126600.1,1.8816054740054e-18,0.00617615568641772,2.73389028303006e-13,NA,NA,NA,2.31819561107068e-6
Phvul.001G127200.1,1.13795942297541e-6,NA,1.92075218254893e-8,NA,NA,NA,NA
Phvul.001G127300.1,1.27048365198387e-5,NA,NA,NA,NA,2.21170247621818e-5,5.543044143196e-9
Phvul.001G127400.1,2.62328323833514e-4,NA,NA,NA,NA,NA,NA
Phvul.001G127700.1,NA,NA,2.0635147065961e-12,NA,2.23303543668513e-5,NA,NA
Phvul.001G128500.1,1.08454170317645e-4,NA,6.40512828298344e-32,NA,NA,NA,NA
Phvul.001G128550.1,0.00117748491787899,NA,3.92158310003591e-21,NA,NA,NA,NA
Phvul.001G129300.1,NA,NA,8.74158288621415e-24,NA,3.2718613536845e-14,NA,NA
Phvul.001G130200.1,NA,NA,NA,NA,NA,4.93720243433539e-14,NA
Phvul.001G131000.1,NA,NA,5.8766663806295e-13,NA,NA,NA,NA
Phvul.001G132000.1,NA,NA,NA,NA,0.00116500535455465,NA,NA
Phvul.001G133601.1,NA,NA,6.63292287863356e-70,NA,NA,NA,3.91641979637608e-5
Phvul.001G134400.2,NA,NA,1.30286066669332e-25,NA,2.44160317696791e-5,NA,NA
Phvul.001G135200.1,NA,7.9101752312573e-4,2.61178876488339e-12,NA,7.50454935273991e-11,NA,NA
Phvul.001G135600.1,NA,0.00246253881061703,1.42741102166311e-37,NA,6.80061315264437e-12,NA,2.70157737472247e-19
Phvul.001G135700.1,0.0266047793621671,NA,NA,NA,NA,NA,NA
Phvul.001G136900.1,NA,NA,8.89800096491331e-4,NA,0.010471491183255,NA,NA
Phvul.001G137300.1,NA,NA,1.18064368654251e-11,NA,6.47994796214885e-6,NA,NA
Phvul.001G137925.1,NA,NA,1.43863214092998e-15,NA,2.71520819641339e-12,NA,NA
Phvul.001G140000.1,2.10381947803541e-4,0.0169228230608424,8.50343184209221e-28,NA,9.93870097688065e-11,NA,1.67786237521762e-27
Phvul.001G141000.1,0.0141541918496782,NA,NA,NA,NA,NA,NA
Phvul.001G143300.1,NA,NA,8.54976364718024e-14,NA,9.6863747479915e-6,3.2018231428765e-4,0.00351214480125642
Phvul.001G143800.1,NA,NA,2.06421132990242e-16,NA,NA,NA,NA
Phvul.001G145600.1,5.77693835026234e-7,0.00547098593271422,3.29139185569808e-62,NA,7.9210829411796e-10,NA,4.38377525769487e-15
Phvul.001G147001.1,NA,NA,3.01751421581097e-26,NA,NA,NA,NA
Phvul.001G147100.1,NA,NA,2.26513260779947e-19,NA,2.87056280767647e-11,NA,NA
Phvul.001G147300.1,NA,NA,1.10248233267868e-15,NA,4.91812710844453e-6,NA,NA
Phvul.001G147700.1,NA,NA,1.46729531076264e-4,NA,0.0134511635257615,NA,NA
Phvul.001G148000.1,NA,3.06980532461756e-4,NA,NA,NA,0.0114276040913379,NA
Phvul.001G150600.1,NA,NA,NA,NA,0.00556051630962431,NA,NA
Phvul.001G151900.2,1.03160304835167e-6,NA,NA,NA,NA,0.00137474510905965,4.17497003835682e-4
Phvul.001G153000.1,NA,NA,NA,NA,0.00615131885665483,NA,NA
Phvul.001G153200.1,0.0437943512118307,0.0196816725631308,3.44984710344238e-21,NA,8.90543921728356e-5,NA,NA
Phvul.001G153600.2,NA,8.67502659724471e-4,NA,NA,0.00726041144023084,NA,4.23870244540451e-7
Phvul.001G154200.1,2.5024048987377e-6,NA,NA,NA,NA,NA,NA
Phvul.001G154500.1,NA,NA,1.01071899358371e-6,NA,6.15561132059327e-6,NA,NA
Phvul.001G154700.1,3.40083788999567e-21,0.0398844525830231,NA,NA,NA,NA,NA
Phvul.001G155400.1,NA,NA,NA,NA,NA,1.70977315360766e-6,NA
Phvul.001G156500.1,NA,0.016085232530668,NA,NA,NA,NA,NA
Phvul.001G157400.1,NA,NA,NA,0.015256194727489,1.24880042198304e-14,NA,NA
Phvul.001G157900.1,NA,NA,NA,0.00250573350528699,NA,NA,NA
Phvul.001G158300.1,NA,NA,NA,1.02061812096292e-4,1.2931636768762e-4,1.31470275158128e-4,NA
Phvul.001G159300.1,NA,NA,8.88780549304169e-7,NA,1.27463651354745e-4,NA,NA
Phvul.001G160100.1,3.00668956966015e-7,NA,0.00950798545023107,NA,NA,1.02401381928314e-7,0.0102435987802548
Phvul.001G160200.1,0.00258288643706316,NA,NA,NA,NA,0.00149861997699311,5.03575442679708e-8
Phvul.001G160400.1,NA,NA,NA,0.00406270607339292,NA,NA,NA
Phvul.001G160500.1,1.78635496730183e-8,NA,3.61909956489839e-7,NA,1.07590988246924e-8,NA,NA
Phvul.001G160600.1,NA,NA,1.89490138744544e-74,NA,2.95983798024833e-5,NA,NA
Phvul.001G160700.1,NA,1.51030209406304e-5,NA,NA,NA,NA,NA
Phvul.001G161200.1,NA,NA,8.55178952216461e-7,NA,NA,NA,NA
Phvul.001G161400.1,NA,NA,9.43292657377976e-41,NA,1.77867756816367e-8,NA,NA
Phvul.001G164000.1,1.36465783079148e-5,NA,NA,NA,NA,NA,4.03105455531637e-4
Phvul.001G165100.1,2.59172275676007e-5,NA,NA,NA,NA,NA,NA
Phvul.001G165266.1,NA,NA,1.28690311841179e-5,NA,0.00398679326623719,NA,NA
Phvul.001G165700.1,0.00908723963676777,NA,1.03025182826517e-107,NA,0.00191199034814082,NA,NA
Phvul.001G166500.1,NA,NA,NA,NA,0.00303455020934705,NA,NA
Phvul.001G167300.1,NA,0.0281974462149928,5.40597855155969e-14,NA,7.18375810280503e-11,NA,NA
Phvul.001G171100.1,NA,NA,NA,NA,1.20248658061579e-18,NA,NA
Phvul.001G172400.1,NA,NA,1.50506854699975e-7,NA,NA,NA,NA
Phvul.001G172900.1,NA,1.60947194841614e-4,NA,NA,NA,NA,2.50104137457911e-4
Phvul.001G173300.2,NA,0.02972293405421,4.39902369672967e-34,NA,6.64458665259051e-6,NA,NA
Phvul.001G173700.1,NA,NA,9.88359741269455e-4,NA,NA,NA,NA
Phvul.001G175300.1,NA,NA,0.00113329797325051,NA,NA,NA,NA
Phvul.001G176100.1,NA,NA,NA,NA,NA,NA,0.00997273110175171
Phvul.001G176400.2,0.0125249371663822,NA,NA,NA,4.7112759540851e-5,9.28429210666692e-4,NA
Phvul.001G177200.1,1.27161487854179e-22,NA,NA,NA,NA,NA,NA
Phvul.001G180500.1,0.011027831945018,NA,NA,NA,NA,NA,6.34844489091938e-15
Phvul.001G180900.1,NA,NA,NA,NA,NA,NA,0.0137612489248554
Phvul.001G182100.1,NA,NA,NA,0.0026744319833305,0.00130601155065526,0.00423825373416456,NA
Phvul.001G182200.1,NA,NA,NA,NA,7.80358971831508e-4,NA,NA
Phvul.001G182300.1,NA,NA,NA,NA,1.94329278487564e-6,NA,NA
Phvul.001G182400.1,NA,NA,NA,NA,8.88640173528974e-10,NA,NA
Phvul.001G183000.1,0.0331972074244414,NA,3.36378291915474e-10,NA,NA,NA,5.90044526417187e-14
Phvul.001G183300.1,1.19743744890658e-6,0.0118160555538638,1.20497486233779e-12,NA,2.58827493905734e-12,NA,NA
Phvul.001G185100.1,NA,NA,NA,NA,NA,1.0320155074861e-6,NA
Phvul.001G185200.1,2.10323709624327e-10,NA,2.80816687383414e-33,NA,NA,NA,NA
Phvul.001G185301.1,0.00190839559349614,NA,NA,NA,NA,0.00558855501407857,9.10563607879484e-7
Phvul.001G185400.1,1.36144640826695e-4,NA,NA,NA,NA,NA,NA
Phvul.001G185700.1,0.00167361555545902,NA,8.83549493881345e-6,NA,NA,NA,0.0166839493874662
Phvul.001G186800.1,NA,0.0121175157498049,NA,NA,NA,NA,NA
Phvul.001G186900.1,NA,NA,0.00118448870434386,NA,NA,NA,NA
Phvul.001G187150.1,NA,NA,NA,NA,0.0324477863106583,NA,0.0446519467119965
Phvul.001G188300.1,NA,NA,1.42162997845097e-10,NA,NA,NA,NA
Phvul.001G188600.1,NA,NA,1.64970252330486e-34,NA,NA,NA,NA
Phvul.001G190500.1,NA,NA,1.29516464971277e-4,NA,9.72347183444214e-4,NA,NA
Phvul.001G191600.2,NA,NA,5.02215409983938e-5,NA,0.0119297919565919,1.66820734865643e-5,NA
Phvul.001G192900.1,NA,NA,2.15909639988686e-22,NA,1.47620910992761e-14,NA,NA
Phvul.001G194000.1,NA,NA,0.02380904497756,NA,NA,NA,NA
Phvul.001G194500.1,NA,NA,NA,NA,NA,1.37502900250694e-20,NA
Phvul.001G194900.1,NA,NA,NA,NA,NA,1.63895696147114e-16,NA
Phvul.001G196000.1,NA,NA,1.52049086915253e-7,NA,1.52392578967628e-6,NA,NA
Phvul.001G197800.1,NA,NA,NA,NA,NA,NA,0.00330420840893641
Phvul.001G198100.1,NA,NA,NA,NA,0.0487906261103751,NA,NA
Phvul.001G198900.1,7.00759607930843e-4,NA,NA,NA,NA,NA,2.39114737772575e-8
Phvul.001G201300.1,NA,NA,NA,NA,NA,0.0203532207910348,NA
Phvul.001G201500.1,NA,NA,NA,NA,0.00678617055228106,NA,NA
Phvul.001G201700.1,NA,NA,2.21209991404499e-52,NA,4.89755801628443e-4,NA,NA
Phvul.001G203800.1,NA,NA,2.94239743912993e-4,NA,NA,NA,NA
Phvul.001G204800.1,NA,NA,1.10653130738988e-8,NA,NA,NA,NA
Phvul.001G205300.1,NA,0.00606180886514943,NA,NA,NA,NA,NA
Phvul.001G205400.1,0.0142222974675344,NA,NA,NA,NA,NA,3.85443748477529e-4
Phvul.001G206800.1,8.3681740584016e-15,6.27943826360693e-8,NA,NA,1.44778965391547e-16,NA,1.6250577590463e-40
Phvul.001G206900.1,NA,5.03267920346296e-4,NA,0.0492180479343821,5.81776248001582e-5,NA,2.20600194176379e-6
Phvul.001G208400.1,NA,NA,NA,NA,4.80971489736937e-4,NA,NA
Phvul.001G209300.1,NA,0.0068303304184704,NA,NA,NA,NA,NA
Phvul.001G209600.1,8.18389319942031e-6,1.09030204213564e-6,4.98869258305183e-39,NA,NA,NA,1.08198922584238e-14
Phvul.001G210300.1,NA,NA,NA,NA,0.0342864811885034,NA,NA
Phvul.001G210400.1,1.8351009455232e-5,NA,1.58824483140419e-24,NA,3.94759000143292e-6,NA,0.0370447150657787
Phvul.001G212300.1,NA,NA,NA,NA,NA,3.66321103459502e-7,NA
Phvul.001G212400.1,NA,NA,5.54054919116749e-17,NA,6.71913563413898e-20,NA,NA
Phvul.001G214300.1,NA,NA,NA,NA,0.0477240836952129,NA,NA
Phvul.001G214400.1,NA,0.00974663633646661,NA,NA,NA,NA,NA
Phvul.001G215100.1,NA,NA,NA,NA,NA,1.66176884957464e-13,NA
Phvul.001G215300.2,NA,NA,1.39615420516736e-6,NA,NA,NA,NA
Phvul.001G216100.1,NA,NA,9.12177948585832e-7,NA,NA,NA,0.00473827102969544
Phvul.001G218600.1,NA,0.0324332121179196,8.52256113302292e-20,NA,3.08828180819775e-12,NA,NA
Phvul.001G219300.1,NA,NA,NA,NA,NA,NA,3.00323715776446e-7
Phvul.001G221000.1,NA,0.0367231315901331,4.19986772598795e-22,NA,6.23365774340809e-16,NA,NA
Phvul.001G221100.1,NA,NA,NA,NA,0.0405964819767268,NA,NA
Phvul.001G221300.1,0.0279064038956006,NA,NA,NA,NA,NA,NA
Phvul.001G224800.1,NA,NA,NA,NA,3.46271342701461e-8,NA,NA
Phvul.001G225300.1,4.92754569311878e-24,2.67498509338653e-5,NA,NA,NA,NA,4.97683797436652e-39
Phvul.001G226000.1,NA,NA,2.39119504595901e-46,NA,NA,NA,NA
Phvul.001G229100.1,NA,0.00320539823292835,8.20301876989775e-14,NA,NA,NA,NA
Phvul.001G229700.1,1.38693359740684e-5,NA,NA,NA,NA,2.95224412539732e-7,NA
Phvul.001G229800.1,1.12063931134882e-4,NA,0.00216549751802735,NA,NA,NA,NA
Phvul.001G230100.1,NA,NA,2.14946972549008e-32,NA,1.7620279199349702e-08,NA,NA
Phvul.001G232300.1,NA,0.0163520065911567,NA,NA,1.36355375861066e-12,NA,3.63847806828452e-9
Phvul.001G234600.1,4.01540732398775e-7,0.00980116567099529,NA,NA,NA,NA,2.79245287866394e-13
Phvul.001G236500.1,NA,NA,7.88743601994481e-24,NA,2.63414421860754e-6,NA,NA
Phvul.001G236600.1,NA,NA,NA,NA,5.41398192368063e-24,NA,NA
Phvul.001G238100.1,0.00846915985813383,NA,NA,NA,NA,NA,NA
Phvul.001G238300.1,NA,7.46979571430245e-16,NA,NA,NA,NA,NA
Phvul.001G238400.1,NA,NA,6.85379096790726e-10,NA,0.00620158423561892,NA,NA
Phvul.001G238900.1,NA,0.00359813649944665,NA,NA,NA,NA,NA
