GeneID,log2FC,padj,tabla_origen
Phvul.002G049000.1,7.77265789010281,7.68692884770252e-18,ox_op
Phvul.006G045800.1,5.23973943676055,2.78952969360801e-9,ox_op
Phvul.009G094000.1,4.31810219281694,6.28277472233477e-66,ox_op
Phvul.002G170800.1,4.2315943332657,2.81304247638359e-8,ox_op
Phvul.003G012600.1,3.8603618863168,3.04886913700175e-8,ox_op
Phvul.004G085100.1,3.79072353733218,1.53787568705809e-21,ox_op
Phvul.006G210200.1,3.67336350707229,5.43172258959366e-14,ox_op
Phvul.004G114300.1,3.66904682462555,7.43285290404937e-7,ox_op
Phvul.002G160100.1,3.62068769404495,6.96468257882556e-22,ox_op
Phvul.003G003200.1,3.5038316122954,1.29124320842688e-15,ox_op
Phvul.003G051800.1,3.30653758352667,6.83032679379935e-74,ox_op
Phvul.006G192700.1,3.29760068120274,1.46667262138284e-14,ox_op
Phvul.005G022500.1,3.24472053351921,9.77496013351773e-6,ox_op
Phvul.003G193400.1,3.14745805058193,1.60445253627107e-6,ox_op
Phvul.003G051801.1,3.08573952131911,5.58337751015397e-61,ox_op
Phvul.009G189000.1,3.03240597831589,1.66393895877292e-194,ox_op
Phvul.009G156300.1,3.00202767149127,1.61160057604979e-20,ox_op
Phvul.003G224800.1,2.99973668161387,7.28690089611468e-5,ox_op
Phvul.002G254600.1,2.98028471294126,5.91339526391079e-99,ox_op
Phvul.009G137900.1,2.9566287388105,1.50547039819974e-11,ox_op
Phvul.003G217200.1,2.91403584532696,8.74044054407126e-27,ox_op
Phvul.011G080500.1,2.81396316202602,3.18059210952792e-30,ox_op
Phvul.004G094100.1,2.80546556471948,1.34566641653131e-30,ox_op
Phvul.006G190400.1,2.79079273154764,3.11906626873951e-53,ox_op
Phvul.007G212600.2,2.76241034290927,3.61198187810597e-35,ox_op
Phvul.006G067600.1,2.67618795809171,6.83899184125115e-68,ox_op
Phvul.002G273100.1,2.65548582607752,4.14816464734144e-12,ox_op
Phvul.006G168190.1,2.64346093654185,4.66191449813046e-8,ox_op
Phvul.003G248025.1,2.60808421268368,5.636708750816e-17,ox_op
Phvul.001G183000.1,2.5103999058754,5.90044526417187e-14,ox_op
Phvul.004G092100.1,2.48750939374249,2.24662553330478e-8,ox_op
Phvul.011G099300.1,2.48498817823128,1.80902520075272e-16,ox_op
Phvul.005G064700.1,2.46730931096552,7.07750553203411e-14,ox_op
Phvul.005G061900.1,2.46409237881324,4.80642517882939e-8,ox_op
Phvul.008G113700.1,2.44725046859913,7.76513613969458e-54,ox_op
Phvul.002G300900.1,2.44300314967694,1.68135935756762e-4,ox_op
Phvul.008G241900.1,2.43990875421207,9.75391474020964e-6,ox_op
Phvul.008G098500.1,2.40629126405386,9.34607973954628e-9,ox_op
Phvul.009G075500.1,2.3971825405458,8.80766345356106e-43,ox_op
Phvul.009G075100.1,2.38502467323076,6.15303914032558e-8,ox_op
Phvul.010G078000.1,2.36997821833302,1.63079618111493e-26,ox_op
Phvul.001G206900.1,2.35258938089262,2.20600194176379e-6,ox_op
Phvul.006G075600.1,2.34943995829526,3.53180929192923e-47,ox_op
Phvul.006G176600.1,2.31113382207189,9.18203079988213e-30,ox_op
Phvul.004G069000.1,2.30226133629213,1.67019410512929e-27,ox_op
Phvul.009G120300.1,2.26463203788073,1.1652746250307e-4,ox_op
Phvul.009G120400.1,2.25520192352809,1.14266564714493e-6,ox_op
Phvul.001G065300.1,2.25217317265081,0.00512991244192167,ox_op
Phvul.001G151900.2,2.23792733640577,4.17497003835682e-4,ox_op
Phvul.007G193700.1,2.23652637095046,1.69032152783071e-8,ox_op
Phvul.010G122500.1,2.2185291895226,6.20603397918076e-9,ox_op
Phvul.011G050200.1,2.21146341912007,6.40114725569614e-27,ox_op
Phvul.003G228000.1,2.2004775159455,3.51956576326127e-4,ox_op
Phvul.007G193800.1,2.19494201363153,1.62219134968939e-17,ox_op
Phvul.002G270700.1,2.1936501933892,1.16427332056252e-40,ox_op
Phvul.003G028000.1,2.18558528624161,2.54746106893657e-21,ox_op
Phvul.003G278400.1,2.17343784453171,3.86987116670632e-9,ox_op
Phvul.004G151500.1,2.14399451226273,1.03793018022032e-14,ox_op
Phvul.004G095200.1,2.11312494975817,2.30835967727492e-5,ox_op
Phvul.003G051900.1,2.09726126903595,0.014478207075505,ox_op
Phvul.002G302200.1,2.09636800030636,1.97424784966272e-4,ox_op
Phvul.011G033800.1,2.07637447127981,5.35305850961809e-23,ox_op
Phvul.009G188800.1,2.07247047308789,2.26605829743862e-4,ox_op
Phvul.006G207600.1,2.06854828221312,4.8943365468507e-23,ox_op
Phvul.003G163400.1,2.06234907634176,1.57660440409629e-19,ox_op
Phvul.006G210300.1,2.05489790134081,5.24554922440073e-5,ox_op
Phvul.009G058900.1,2.05003705850808,4.60038306098956e-78,ox_op
Phvul.003G025100.1,2.04739587961493,1.58200449639452e-6,ox_op
Phvul.009G197000.1,2.04328523168614,4.95079828964896e-19,ox_op
Phvul.002G061300.1,2.03913149707359,0.00130166871915903,ox_op
Phvul.007G082000.1,2.02921454482987,9.87578807372702e-21,ox_op
Phvul.004G047900.1,2.0287126573837,1.7534234659167e-37,ox_op
Phvul.002G112600.1,2.01810078420289,2.89632039612853e-14,ox_op
Phvul.005G109300.1,2.0128925991156,6.83032679379935e-74,ox_op
Phvul.008G175500.1,2.01232674326678,7.09866505821624e-22,ox_op
Phvul.001G248400.1,2.01232397951116,1.35347935379334e-31,ox_op
Phvul.010G141200.2,2.012253590796,5.31248941526466e-45,ox_op
Phvul.009G147700.1,2.00585925344744,2.52574231327798e-13,ox_op
Phvul.006G184800.2,1.99739758542293,7.59902343857361e-6,ox_op
Phvul.010G093500.2,1.97643103888166,9.49614559265899e-28,ox_op
Phvul.007G208800.1,1.9739487508275,1.13910779100972e-9,ox_op
Phvul.007G056200.1,1.9718949676185,1.45814688221871e-4,ox_op
Phvul.001G064000.1,1.94936416441757,4.72374823293865e-104,ox_op
Phvul.006G205300.1,1.94708706325139,3.30584191085826e-19,ox_op
Phvul.008G008100.1,1.93583567387826,1.71903991518936e-5,ox_op
Phvul.001G245800.1,1.93373843727111,2.36487553096457e-9,ox_op
Phvul.011G048700.2,1.92447426391405,1.35825912195724e-38,ox_op
Phvul.001G216100.1,1.9152191861263,0.00473827102969544,ox_op
Phvul.001G263300.1,1.90816080826151,7.61860098152883e-13,ox_op
Phvul.003G109802.1,1.90734569967043,5.40914991942289e-6,ox_op
Phvul.002G062000.1,1.88942381673788,2.05978411455832e-4,ox_op
Phvul.005G065100.1,1.88393869338976,1.03682010182366e-8,ox_op
Phvul.003G271400.1,1.87337040306806,1.53544266082196e-17,ox_op
Phvul.001G114000.1,1.87121769464813,1.71037504041396e-13,ox_op
Phvul.005G155800.1,1.86881041437006,1.28208442470186e-21,ox_op
Phvul.007G080400.1,1.86868953132693,5.19181978388543e-4,ox_op
Phvul.009G030100.1,1.86686963848102,0.00241126054085923,ox_op
Phvul.010G067200.1,1.86385686433766,2.06941797969088e-39,ox_op
Phvul.005G112800.1,1.86084803036461,3.74212797565453e-20,ox_op
Phvul.005G132600.1,1.85644848746825,2.59293739285782e-27,ox_op
Phvul.002G025900.1,1.85133411522299,1.03895742178183e-28,ox_op
Phvul.010G140900.1,1.84371360180258,1.15425184624125e-31,ox_op
Phvul.009G126400.1,1.84278555993753,4.83357163362054e-16,ox_op
Phvul.002G170200.1,1.84124266631792,1.02751610361577e-36,ox_op
Phvul.006G012501.1,1.8355631789485,1.24583330258362e-16,ox_op
Phvul.007G128100.1,1.82670633122457,1.48244936876809e-4,ox_op
Phvul.007G016500.1,1.82670319191227,3.95842963116013e-6,ox_op
Phvul.002G174500.1,1.82180109146308,3.39931287826401e-24,ox_op
Phvul.006G165000.1,1.81581875029053,1.16590357534944e-32,ox_op
Phvul.006G173600.1,1.813307873084,5.69150040033042e-4,ox_op
Phvul.001G185700.1,1.80634306746104,0.0166839493874662,ox_op
Phvul.010G148700.1,1.80600672419855,1.55468051111683e-18,ox_op
Phvul.002G196000.1,1.80303963932062,0.00151445505077712,ox_op
Phvul.007G226400.1,1.79816755853925,7.35133206901968e-35,ox_op
Phvul.003G151700.1,1.79697089482736,2.26177527147101e-11,ox_op
Phvul.003G252500.1,1.79035243138341,2.07373667592695e-4,ox_op
Phvul.001G090900.1,1.79025509903659,0.00486369088887971,ox_op
Phvul.004G174600.1,1.78949149777192,1.28062765311956e-41,ox_op
Phvul.002G267800.1,1.78776643818139,0.00435669620820866,ox_op
Phvul.009G229500.1,1.78718956181549,1.43433541823277e-16,ox_op
Phvul.002G293200.1,1.78597356131591,1.22143887306072e-29,ox_op
Phvul.002G046800.1,1.77089354612737,4.3007082925118e-37,ox_op
Phvul.008G036000.2,1.77037095921216,3.71514614428135e-4,ox_op
Phvul.003G109500.1,1.74844921636689,9.26476754206926e-5,ox_op
Phvul.007G208900.1,1.74446557487723,4.36372930035899e-13,ox_op
Phvul.006G188400.1,1.73900182984564,8.84462699968544e-50,ox_op
Phvul.005G036900.1,1.72030504976989,5.22541692554243e-49,ox_op
Phvul.006G168600.1,1.71809744782014,1.76848992317044e-5,ox_op
Phvul.004G080200.1,1.71585782855954,6.39536420109965e-6,ox_op
Phvul.003G109603.1,1.71045915821013,9.96344153602892e-5,ox_op
Phvul.006G060700.1,1.7092396640208,2.21192077746697e-13,ox_op
Phvul.003G147200.1,1.70873622041815,3.78388968139119e-52,ox_op
Phvul.007G125500.1,1.70693220849799,4.98782474773386e-4,ox_op
Phvul.001G225300.1,1.7033922290641,4.97683797436652e-39,ox_op
Phvul.010G141050.1,1.70055664178648,2.93740173933272e-35,ox_op
Phvul.009G023900.1,1.6990976667333,2.43838197273576e-34,ox_op
Phvul.009G067800.1,1.69687047449752,8.57772070708912e-17,ox_op
Phvul.005G172400.1,1.69030450373142,1.99676192247536e-23,ox_op
Phvul.008G181400.1,1.68888961593647,1.6548435729336e-17,ox_op
Phvul.010G140800.1,1.68241447343562,2.06575103264122e-34,ox_op
Phvul.005G172900.1,1.68063281933342,7.58158214081264e-8,ox_op
Phvul.003G109000.1,1.67408218589858,1.83076012084743e-25,ox_op
