GeneID,log2FC_dat_ev,padj_dat_ev,log2FC_dat_rna,padj_dat_rna,log2FC_dat_ox,padj_dat_ox,log2FC_dat_rna_lp,padj_dat_rna_lp,log2FC_dat_ox_lp,padj_dat_ox_lp,log2FC_dat_rna_op,padj_dat_rna_op,log2FC_dat_ox_op,padj_dat_ox_op
Phvul.002G049000.1,6.86201516142093,4.79096696167182e-11,7.74330468194328,2.67659612754151e-5,1.34790337611822,5.88506511141036e-22,NA,NA,2.22890526851918,2.26545502857707e-12,NA,NA,7.77265789010281,7.68692884770252e-18
Phvul.003G003200.1,4.07209305359144,8.21890871493183e-11,3.60472252502042,1.37548949078097e-5,1.29792971208987,2.34849716190417e-7,NA,NA,NA,NA,NA,NA,3.5038316122954,1.29124320842688e-15
Phvul.006G210200.1,3.95916335543036,2.47464050758527e-9,3.15864462913791,1.33604852641081e-5,NA,NA,NA,NA,NA,NA,NA,NA,3.67336350707229,5.43172258959366e-14
Phvul.002G332100.1,3.94251382763802,0.00373152196203456,5.71507906243228,1.29434512097722e-8,1.6425471069348,3.55251772952903e-6,NA,NA,NA,NA,NA,NA,NA,NA
Phvul.009G094000.1,3.89743597875224,4.92166818870379e-25,4.06462909640541,1.35477920602311e-8,1.25470553060083,2.04210731673045e-24,NA,NA,1.65673584303039,4.5227724216537e-11,NA,NA,4.31810219281694,6.28277472233477e-66
Phvul.003G224600.1,3.72029010968859,0.0235318855116036,NA,NA,NA,NA,NA,NA,-2.40517706534853,4.16413553412055e-7,NA,NA,NA,NA
Phvul.009G197000.1,3.70570340283676,3.55651725524186e-16,3.15603374581654,9.01969613905317e-20,1.21305738561096,3.95824443735286e-13,NA,NA,NA,NA,NA,NA,2.04328523168614,4.95079828964896e-19
Phvul.002G170800.1,3.65551182700521,1.62352285858193e-5,4.95867500168112,9.15196194430648e-5,NA,NA,NA,NA,1.48001217929903,7.69531338495121e-10,NA,NA,4.2315943332657,2.81304247638359e-8
Phvul.010G141200.2,3.57620323526767,1.36288516209058e-19,4.03319530221478,2.27546197255184e-35,2.52512075781939,1.60211803117305e-145,NA,NA,NA,NA,NA,NA,2.012253590796,5.31248941526466e-45
Phvul.010G140900.1,3.46214716744178,1.07079592008143e-16,3.75332660882186,5.75895357016783e-49,3.07993931520155,1.55106446085903e-196,NA,NA,1.45336154576525,6.60296461931369e-4,NA,NA,1.84371360180258,1.15425184624125e-31
Phvul.001G245800.1,3.36352107794082,3.14912442243719e-15,2.05520031057435,0.0042534919938627,NA,NA,NA,NA,NA,NA,1.74064526669896,0.0343508983406687,1.93373843727111,2.36487553096457e-9
Phvul.010G141050.1,3.33931254877912,1.47585576982879e-16,3.58692657697844,3.77014446113727e-65,2.94714229133213,6.60093840920969e-189,NA,NA,1.29768105325008,0.00251029217080199,NA,NA,1.70055664178648,2.93740173933272e-35
Phvul.002G285800.1,3.22985395856455,2.1933442832588e-6,NA,NA,NA,NA,NA,NA,-1.47007321223056,0.0213631679074688,NA,NA,1.4829975121939,0.00795529214385478
Phvul.001G185700.1,3.21064305576152,0.00167361555545902,NA,NA,2.59956883703378,8.83549493881345e-6,NA,NA,NA,NA,NA,NA,1.80634306746104,0.0166839493874662
Phvul.007G193800.1,3.18468709813738,2.22220747198529e-10,2.01592979214242,2.25957560395384e-4,NA,NA,NA,NA,NA,NA,1.42739716276119,3.71166735218211e-5,2.19494201363153,1.62219134968939e-17
Phvul.007G113700.1,3.10040556560459,1.13545373270792e-7,4.85128270980981,7.31568687276678e-7,3.29649601361249,5.24296493828281e-19,NA,NA,1.46754250973848,0.00538640418410852,NA,NA,1.28726867749902,0.00308686888596773
Phvul.001G151900.2,3.07990404392839,1.03160304835167e-6,NA,NA,NA,NA,NA,NA,NA,NA,2.45763077146631,0.00137474510905965,2.23792733640577,4.17497003835682e-4
Phvul.006G046000.1,3.07710225941057,2.99685873605652e-5,3.82055474919172,0.00391453036450228,1.79653136692362,1.36568102322088e-4,NA,NA,NA,NA,NA,NA,NA,NA
Phvul.002G280400.1,3.04452669897401,1.19095481404313e-5,NA,NA,2.78866867383766,3.70796421137185e-6,NA,NA,NA,NA,NA,NA,1.3775753194189,0.0126493513128021
Phvul.009G046500.1,3.02221410034444,0.0291889330822239,NA,NA,3.08038078417021,6.38776940285144e-13,NA,NA,NA,NA,NA,NA,1.45561193900148,0.00370173771772842
Phvul.010G140800.1,2.96894612313391,1.6586325898411e-11,3.31286741341707,3.3260592531425e-31,2.01522859845136,2.92367255971364e-71,NA,NA,NA,NA,NA,NA,1.68241447343562,2.06575103264122e-34
Phvul.007G193700.1,2.91773419720509,1.56088173077212e-4,2.26150405505983,0.0061335366562866,-1.43799230753344,1.55168841283707e-4,NA,NA,-2.1189487986321,0.00431184508540728,NA,NA,2.23652637095046,1.69032152783071e-8
Phvul.001G160100.1,2.91309826662924,3.00668956966015e-7,NA,NA,1.02460605146229,0.00950798545023107,NA,NA,NA,NA,2.35983643538037,1.02401381928314e-7,1.15183802335697,0.0102435987802548
Phvul.004G085100.1,2.88045822262115,1.13856503636449e-4,3.42591800867539,8.43736582977766e-7,NA,NA,NA,NA,1.8729787324628,1.88565736788322e-4,NA,NA,3.79072353733218,1.53787568705809e-21
