GeneID,log2FC_dat_ev,log2FC_dat_rna,log2FC_dat_ox,log2FC_dat_rna_lp,log2FC_dat_ox_lp,log2FC_dat_rna_op,log2FC_dat_ox_op
Phvul.001G167300.1,NA,1.09137350241723,1.05446039498414,NA,1.34448775464506,NA,NA
Phvul.001G171100.1,NA,NA,NA,NA,-1.16646147756925,NA,NA
Phvul.001G172400.1,NA,NA,1.01571721781324,NA,NA,NA,NA
Phvul.001G172900.1,NA,-1.57190618001251,NA,NA,NA,NA,-1.13711286564228
Phvul.001G173300.2,NA,1.66706879739673,2.09064215638211,NA,1.1055074590348,NA,NA
Phvul.001G173700.1,NA,NA,-1.23349975285695,NA,NA,NA,NA
Phvul.001G175300.1,NA,NA,-1.26300397104126,NA,NA,NA,NA
Phvul.001G176100.1,NA,NA,NA,NA,NA,NA,-1.29886534405376
Phvul.001G176400.2,-1.00375384050497,NA,NA,NA,1.34109690412296,-1.14191911179601,NA
Phvul.001G177200.1,1.53859766805836,NA,NA,NA,NA,NA,NA
Phvul.001G180500.1,-1.22868752653968,NA,NA,NA,NA,NA,-1.2331976444307
Phvul.001G180900.1,NA,NA,NA,NA,NA,NA,1.47178337613384
Phvul.001G182100.1,NA,NA,NA,-1.77744590422242,-1.36984060639174,-1.01425153090683,NA
Phvul.001G182200.1,NA,NA,NA,NA,-1.04985807398909,NA,NA
Phvul.001G182300.1,NA,NA,NA,NA,-1.12820987572348,NA,NA
Phvul.001G182400.1,NA,NA,NA,NA,-1.07897678403407,NA,NA
Phvul.001G183000.1,1.49612693191089,NA,-2.10438128303423,NA,NA,NA,2.5103999058754
Phvul.001G183300.1,1.23450938229751,1.16525912195553,-1.03359598505434,NA,-1.50750567241123,NA,NA
Phvul.001G185100.1,NA,NA,NA,NA,NA,1.15851386874045,NA
Phvul.001G185200.1,1.35097437292414,NA,1.19144489279543,NA,NA,NA,NA
Phvul.001G185301.1,1.41860364199569,NA,NA,NA,NA,1.03903452238601,1.3862493480147
Phvul.001G185400.1,-1.50376702349225,NA,NA,NA,NA,NA,NA
Phvul.001G185700.1,3.21064305576152,NA,2.59956883703378,NA,NA,NA,1.80634306746104
Phvul.001G186800.1,NA,1.03126606935441,NA,NA,NA,NA,NA
Phvul.001G186900.1,NA,NA,1.60132514046977,NA,NA,NA,NA
Phvul.001G187150.1,NA,NA,NA,NA,-1.63266348233956,NA,-1.04706856499587
Phvul.001G188300.1,NA,NA,-5.48804389559394,NA,NA,NA,NA
Phvul.001G188600.1,NA,NA,-1.43925904482219,NA,NA,NA,NA
Phvul.001G190500.1,NA,NA,1.03593998942747,NA,1.36849924662935,NA,NA
Phvul.001G191600.2,NA,NA,-1.84703140721126,NA,-1.79368711933289,-1.41420651735559,NA
Phvul.001G192900.1,NA,NA,-1.66227024856762,NA,-1.5924534230375,NA,NA
Phvul.001G194000.1,NA,NA,-1.1591605273018,NA,NA,NA,NA
Phvul.001G194500.1,NA,NA,NA,NA,NA,-1.24379358407505,NA
Phvul.001G194900.1,NA,NA,NA,NA,NA,-1.06370955351086,NA
Phvul.001G196000.1,NA,NA,-1.26783854429654,NA,-1.21800891205979,NA,NA
Phvul.001G197800.1,NA,NA,NA,NA,NA,NA,-1.1856872163033
Phvul.001G198100.1,NA,NA,NA,NA,1.01981612121276,NA,NA
Phvul.001G198900.1,1.03068318534621,NA,NA,NA,NA,NA,1.10363810266326
Phvul.001G201300.1,NA,NA,NA,NA,NA,-1.07935761422849,NA
Phvul.001G201500.1,NA,NA,NA,NA,-1.89284271195767,NA,NA
Phvul.001G201700.1,NA,NA,-1.92832984401318,NA,-1.52351678624532,NA,NA
Phvul.001G203800.1,NA,NA,-1.33832183298825,NA,NA,NA,NA
Phvul.001G204800.1,NA,NA,1.07497841810618,NA,NA,NA,NA
Phvul.001G205300.1,NA,-1.43180278322068,NA,NA,NA,NA,NA
Phvul.001G205400.1,1.29278712388632,NA,NA,NA,NA,NA,1.31339957966283
Phvul.001G206800.1,1.3022898418293,1.94970137687666,NA,NA,1.04534286281103,NA,1.56880992549249
Phvul.001G206900.1,NA,2.27793137383964,NA,1.64528743912761,1.39022789103777,NA,2.35258938089262
Phvul.001G208400.1,NA,NA,NA,NA,1.43979630532229,NA,NA
Phvul.001G209300.1,NA,1.27489924964045,NA,NA,NA,NA,NA
Phvul.001G209600.1,1.97607944628714,2.05363578329544,1.45188110230194,NA,NA,NA,1.15807864814818
Phvul.001G210300.1,NA,NA,NA,NA,1.38956087019566,NA,NA
Phvul.001G210400.1,2.31075320166812,NA,3.15527819348786,NA,2.00913018889739,NA,1.18235586974127
Phvul.001G212300.1,NA,NA,NA,NA,NA,-1.21408366035545,NA
Phvul.001G212400.1,NA,NA,1.049247831317,NA,1.31957277276727,NA,NA
Phvul.001G214300.1,NA,NA,NA,NA,1.13904293968966,NA,NA
Phvul.001G214400.1,NA,1.03477850933802,NA,NA,NA,NA,NA
Phvul.001G215100.1,NA,NA,NA,NA,NA,-1.08649882778182,NA
Phvul.001G215300.2,NA,NA,1.97026475368827,NA,NA,NA,NA
Phvul.001G216100.1,NA,NA,-3.34942412724356,NA,NA,NA,1.9152191861263
Phvul.001G218600.1,NA,1.64810972348345,1.23803063937939,NA,1.5007807458869,NA,NA
Phvul.001G219300.1,NA,NA,NA,NA,NA,NA,-1.86070387683823
Phvul.001G221000.1,NA,1.43038321911267,1.70558303713155,NA,1.80681159230374,NA,NA
Phvul.001G221100.1,NA,NA,NA,NA,1.31558062739135,NA,NA
Phvul.001G221300.1,-1.24944373571794,NA,NA,NA,NA,NA,NA
Phvul.001G224800.1,NA,NA,NA,NA,-1.40155262498003,NA,NA
Phvul.001G225300.1,1.68080375187286,2.00593005605417,NA,NA,NA,NA,1.7033922290641
Phvul.001G226000.1,NA,NA,1.1253215754608,NA,NA,NA,NA
Phvul.001G229100.1,NA,1.30821833777058,1.27360218840777,NA,NA,NA,NA
Phvul.001G229700.1,1.27660547328821,NA,NA,NA,NA,1.24796927006761,NA
Phvul.001G229800.1,-1.47567513231618,NA,-1.07545787208348,NA,NA,NA,NA
Phvul.001G230100.1,NA,NA,1.15635617866263,NA,1.07135243681711,NA,NA
Phvul.001G232300.1,NA,1.43746647304478,NA,NA,1.00437476808747,NA,1.04344895916291
Phvul.001G234600.1,1.25841422424873,1.51730550750528,NA,NA,NA,NA,1.29124049597038
Phvul.001G236500.1,NA,NA,1.62971490057402,NA,1.1502548919894,NA,NA
Phvul.001G236600.1,NA,NA,NA,NA,1.20325878184389,NA,NA
Phvul.001G238100.1,-1.03891584043263,NA,NA,NA,NA,NA,NA
Phvul.001G238300.1,NA,-1.49109013024916,NA,NA,NA,NA,NA
Phvul.001G238400.1,NA,NA,-1.21774777709198,NA,-1.00121208373542,NA,NA
Phvul.001G238900.1,NA,1.0265914496225,NA,NA,NA,NA,NA
Phvul.001G239000.1,NA,2.29097450192893,NA,NA,NA,-1.33279605290602,NA
Phvul.001G239300.1,NA,NA,NA,NA,1.07848375791133,NA,NA
Phvul.001G240100.1,NA,NA,1.28955619712269,NA,NA,NA,-1.03492733480689
Phvul.001G240300.1,NA,NA,-1.06099585172944,NA,-1.27105606637699,NA,NA
Phvul.001G241200.1,NA,NA,NA,1.13491087119713,1.15268798758261,NA,NA
Phvul.001G242200.1,NA,NA,-2.13965499794004,NA,-2.43622035835128,NA,NA
Phvul.001G244500.2,-1.17234000146147,-1.37220217783405,NA,NA,NA,NA,NA
Phvul.001G245800.1,3.36352107794082,2.05520031057435,NA,NA,NA,1.74064526669896,1.93373843727111
Phvul.001G246300.1,1.46031241963895,NA,NA,NA,NA,NA,NA
Phvul.001G246700.2,-1.04999330133788,NA,NA,NA,NA,NA,-1.01596036807035
Phvul.001G247400.1,NA,NA,NA,NA,1.01252042828481,NA,NA
Phvul.001G248400.1,2.04573124151152,2.14822033030173,NA,1.03219903568167,NA,NA,2.01232397951116
Phvul.001G248700.1,NA,1.11826602630298,NA,NA,NA,NA,1.14484971829549
Phvul.001G249700.1,NA,NA,NA,NA,NA,-1.13425419597574,NA
Phvul.001G251200.1,1.0690555942651,NA,-1.02908344446826,NA,NA,NA,1.27097351691943
Phvul.001G252500.1,NA,NA,NA,-1.23743317769634,NA,NA,NA
Phvul.001G254300.1,-1.64585732343473,-1.28696105959097,-1.62192891915357,-1.10145121599208,-1.15518805881218,-1.44200758447355,-1.17017200629986
Phvul.001G254900.1,NA,NA,-1.17468837659016,NA,NA,-1.28009946759586,NA
Phvul.001G255100.1,NA,NA,NA,NA,NA,-1.47796639397064,NA
Phvul.001G255200.1,NA,NA,-1.2377566637947,NA,-1.27471921917081,-1.42822451886526,NA
Phvul.001G258200.2,2.14481972394426,NA,2.89233900144842,NA,NA,-2.91239615872649,NA
Phvul.001G258900.1,NA,2.2783740441517,1.70450396898513,NA,1.69625863149889,NA,NA
Phvul.001G259000.1,1.75862526393386,1.68583781143212,1.03336206944917,NA,NA,NA,1.22973026270322
